tu_id	speaker	start	end	duration	text
163	PKP011	468.565	469.065	0.500	 °vabbè dai°
164	PKP011	473.420	474.110	0.690	 {si_spaventa}
165	PKP012	473.420	474.110	0.690	 xxxx
166	PKP011	475.640	477.800	2.160	 grazie {P} aspetta {P} grazie {ride}
167	PKP038	477.800	478.860	1.060	 non è molto igienico
168	PKP011	478.905	480.945	2.040	 mn vabbè tanto poi xxx[x]
169	PKP031	480.800	481.560	0.760	 [<i]cienico>
170	PKP038	481.955	486.775	4.820	 {ride} io che provo a mettermi il semi~ permanente e lo metto solo su quattro dita {ride}
171	PKP012	486.780	487.630	0.850	 e il quinto?
172	PKP038	488.260	490.770	2.510	 °non c'è° {ride} °ero (scarica)°
173	PKP012	491.030	492.020	0.990	 °vuole il gelato°
174	PKP031	492.320	494.440	2.120	 {canta}
175	PKP038	495.905	496.405	0.500	 GIANNI?
176	PKP031	496.980	497.870	0.890	 non so perché mi x
177	PKP038	497.960	499.430	1.470	 ha portato sfiga quella canzone
178	PKP031	499.440	501.920	2.480	 (perché sono) andati in lock[down]
179	PKP038	501.415	502.035	0.620	 [sì]
180	PKP011	502.120	502.820	0.700	 quale canzone?
181	PKP038	503.245	505.425	2.180	 {canta}
182	PKP031	508.020	510.860	2.840	 MICHI or~ fra poco è ora di venire a vedere sanremo a casa [tua]
183	PKP011	510.675	511.465	0.790	 [sì] {ride}
184	PKP031	511.325	513.115	1.790	 [cioè no ze] che manca [tanto]
185	PKP012	512.485	514.405	1.920	 [non credo] che si possa fare sai
186	PKP011	514.480	515.030	0.550	 [beh dai]
187	PKP031	514.480	516.909	2.429	 [eh bisogna vedere ormai non si sa]
188	PKP012	515.905	518.465	2.560	 [è mio papà il problema] non vuole nes[suno in casa]
189	PKP011	517.664	518.914	1.250	 [vabbè ma fino] a febbraio
190	PKP012	518.965	520.664	1.699	 AH eh vediamo cosa dicono
191	PKP011	520.740	521.659	0.919	 e: esatto
192	PKP031	522.485	524.545	2.060	 >quindi< tu vuoi fare a pranzo? {P} due gruppi sep~
193	PKP012	524.630	529.850	5.220	 eh sì perché è [impossibile se no] {P} o non si fa niente o si fa separati.
194	PKP031	525.390	527.120	1.730	 [x due tavoli separati?]
195	PKP031	533.180	534.250	1.070	 MA dove vuoi andare?
196	PKP012	535.290	535.570	0.280	 boh
197	PKP031	536.845	538.435	1.590	 è la xxxxxx quella?
198	PKP038	539.775	540.275	0.500	 °cosa?°
199	PKP012	540.770	542.750	1.980	 NAH: troppo figa
200	PKP031	545.205	546.565	1.360	 °sembra lei in realtà eh°
201	PKP011	547.180	547.480	0.300	 °ma chi?°
202	PKP031	548.205	549.365	1.160	 °quella in fondo col cane°
203	PKP012	550.930	554.200	3.270	 quella in fondo col [cane. sì (mi) pa~ pare]
204	PKP031	551.860	553.230	1.370	 xxxx {ride}
205	PKP011	553.380	554.230	0.850	 [°(forse) sì°]
206	PKP038	554.340	558.050	3.710	 ma no: è la cosa [>come] si chiama< quella che abi[ta affianco a te]
207	PKP012	555.830	556.220	0.390	 [chi?]
208	PKP031	557.000	558.940	1.940	 [(pero') pero'] c'[è:]
209	PKP011	558.195	558.845	0.650	 [la gioia?]
210	PKP012	560.735	563.195	2.460	 e:::h {ride}
211	PKP031	561.920	562.280	0.360	 [boh]
212	PKP011	562.525	563.485	0.960	 [xxpo]ggiare?
213	PKP012	564.040	565.540	1.500	 EH NO poteva (appoggiare) là,
214	PKP031	566.005	567.725	1.720	 x posa eà,
215	PKP012	570.540	573.090	2.550	 a questo punto anche il [mio compagno era autistico.]
216	PKP038	571.820	574.230	2.410	 [comunque si è laureata] con cento e nove mi sembra?
217	PKP011	574.550	575.140	0.590	 [se]
218	PKP031	574.550	575.140	0.590	 [sì]
219	PKP012	575.620	575.830	0.210	 [per~]
220	PKP038	575.630	577.220	1.590	 [e] con cento e sei alla triennale
221	PKP038	579.960	580.790	0.830	 poi cos'andrà a fare?
222	PKP012	582.600	588.150	5.550	 per fortuna hanno strappato: il volantino: da me non l'ho più trovato l'hanno [strappato]
223	PKP031	587.780	588.620	0.840	 [xxx] più:
224	PKP011	602.755	603.055	0.300	 >grazie<
225	PKP012	604.490	605.040	0.550	 oka:y
226	PKP031	606.015	607.595	1.580	 butta là che va [ben] {ride}
227	PKP012	607.085	607.705	0.620	 [EH eh]
228	PKP038	608.060	610.170	2.110	 °son più simpatici {P} a xxx°
229	PKP012	610.190	617.650	7.460	 comunque xxxx [è chiuso {P} è chiuso e xxxxxxx è chiuso] quindi questa è l'unica opzione: [(possibile.)]
230	PKP031	611.005	614.525	3.520	 [lei è triste: {P} cioè la xxxx è simpa~]
231	PKP031	616.800	619.460	2.660	 [eh ma xxxx] non stai in piedi: [(cioè)]
232	PKP011	618.295	618.890	0.595	 [sì infatti]
233	PKP038	618.890	619.650	0.760	 [sì appunto.]
234	PKP012	621.420	624.790	3.370	 pero' ha degli orari [stranissimi] perché [tipo fa]
235	PKP031	622.420	623.070	0.650	 [grazie]
236	???	623.550	624.160	0.610	 [tè caldo]
237	PKP012	625.950	627.020	1.070	 ah [grazie]
238	PKP031	626.270	627.000	0.730	 [té qui,]
239	PKP038	627.310	627.830	0.520	 °era il tuo?°
240	PKP012	628.295	628.565	0.270	 sì
241	PKP038	632.780	634.330	1.550	 cos'è in xx,
242	PKP011	634.950	635.340	0.390	 no
243	PKP012	636.770	638.700	1.930	 io l'ho appena tolto ce l'avevo rosso,
244	PKP011	638.730	638.940	0.210	 >grazie<
245	PKP031	639.010	639.400	0.390	 [°grazie°]
246	PKP038	639.040	646.200	7.160	 [(volevo) pro]vare quella lampada che ho comprato su amazon la lampada funziona gli smalti xxxxx {P} cioè puzzano
247	PKP012	647.015	647.845	0.830	 puzzano?
248	PKP011	649.035	651.395	2.360	 oh mio dio [questo {P} no:]
249	PKP038	651.190	651.630	0.440	 [>sen]ti<
250	PKP012	651.725	653.395	1.670	 ma è naturale sta cosa? {ride}
251	PKP038	653.435	653.995	0.560	 non so:
252	PKP038	654.780	655.860	1.080	 [infatti pensavo] di::
253	PKP031	654.790	655.580	0.790	 [cosa il tè?]
254	PKP011	655.945	656.815	0.870	 [vuoi quello col (pigiama)?]
255	PKP012	655.995	657.685	1.690	 [NO lo smalto] xxxxx
256	PKP011	659.935	661.535	1.600	 {ride} sapevo io,
257	PKP011	661.710	662.030	0.320	 >grazie<
258	PKP031	662.100	665.120	3.020	 beh signorina inglese che beve il té come le regine
259	PKP012	665.175	666.905	1.730	 ho mal di stomaco in realtà
260	PKP012	668.735	670.525	1.790	 pero' sì {P} è vero
261	PKP031	670.615	671.835	1.220	 tu sei un po' english
262	PKP012	671.840	673.760	1.920	 io sono un po' english dentro
263	PKP011	674.385	675.275	0.890	 sei un po' [xx?]
264	PKP038	674.635	677.775	3.140	 [infatti] pensavo di prendermi gli smalti quelli che usa la cris
265	PKP031	677.790	679.410	1.620	 >ho capito< gli <smarties>
266	PKP011	679.435	680.295	0.860	 smarties {ride}
267	PKP012	679.990	680.370	0.380	 {ride}
268	PKP011	681.440	682.840	1.400	 gli smarties che usa la cris~
269	PKP038	684.345	686.475	2.130	 ma tanto era per provare la prima volta dai
270	PKP011	689.080	689.880	0.800	 °che disastro°
271	PKP012	691.755	695.285	3.530	 niente fiappa. o [sì] sì::: {ride}
272	PKP011	693.515	694.105	0.590	 [SÌ::]
273	PKP038	695.070	695.550	0.480	 fiappa?
274	PKP011	696.055	697.345	1.290	 sì io la chiamo fiappa.
275	PKP012	698.060	698.450	0.390	 perché,
276	PKP031	698.450	700.890	2.440	 an (michi) michely [cuc]ciola?
277	PKP012	700.450	700.700	0.250	 [eh?]
278	PKP012	701.870	705.130	3.260	 CUCCIOLA: {ride} prendilo
